GENERO;IDOSO;CASADO;DEPENDENTES;TEMPO_COMO_CLIENTE;SERVICOTELEFONE;SERVICO_INTERNET;SERVICO_SEGURANCA;SUPORTE_TECNICO;STREAMINGTV;TIPO_CONTRATO;METODOPAGAMENTO;PAGAMENTO_MENSAL;TOTAL_PAGO;CHURN
MALE;0;NO;NO;52;YES;DSL;YES;NO;YES;TWO YEAR;CREDIT CARD (AUTOMATIC);63.25;3342.45;NO
MALE;0;YES;YES;5;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;MAILED CHECK;20.1;85.1;NO
MALE;0;YES;NO;72;YES;FIBER OPTIC;YES;NO;NO;TWO YEAR;ELECTRONIC CHECK;99.15;7422.1;NO
MALE;0;YES;YES;71;YES;DSL;YES;YES;YES;TWO YEAR;ELECTRONIC CHECK;90.4;6668.05;NO
MALE;0;YES;NO;72;YES;FIBER OPTIC;YES;YES;YES;TWO YEAR;CREDIT CARD (AUTOMATIC);111.9;8071.05;NO
MALE;0;YES;YES;46;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;ELECTRONIC CHECK;24.9;1174.8;NO
MALE;0;YES;YES;63;YES;DSL;YES;NO;YES;TWO YEAR;CREDIT CARD (AUTOMATIC);83.5;5435.0;NO
MALE;0;NO;NO;30;YES;FIBER OPTIC;YES;NO;NO;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);84.3;2438.6;NO
MALE;0;NO;NO;1;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;MAILED CHECK;45.6;45.6;NO
FEMALE;0;NO;NO;12;YES;DSL;YES;YES;NO;MONTH-TO-MONTH;MAILED CHECK;61.65;713.75;YES
MALE;0;NO;NO;16;YES;DSL;YES;YES;YES;TWO YEAR;MAILED CHECK;54.85;916.15;NO
MALE;0;NO;NO;4;YES;DSL;NO;YES;NO;MONTH-TO-MONTH;MAILED CHECK;65.55;237.2;NO
MALE;0;YES;NO;51;YES;FIBER OPTIC;NO;NO;NO;ONE YEAR;CREDIT CARD (AUTOMATIC);90.35;4614.55;NO
MALE;0;YES;NO;65;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;CREDIT CARD (AUTOMATIC);20.4;1414.45;NO
MALE;0;NO;NO;16;YES;FIBER OPTIC;NO;YES;NO;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);74.55;1170.5;NO
MALE;0;NO;NO;2;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;MAILED CHECK;19.95;47.7;NO
FEMALE;0;YES;YES;66;YES;FIBER OPTIC;NO;NO;NO;ONE YEAR;BANK TRANSFER (AUTOMATIC);74.25;4859.25;NO
MALE;0;NO;NO;46;YES;FIBER OPTIC;NO;YES;YES;TWO YEAR;ELECTRONIC CHECK;108.65;4903.2;NO
FEMALE;0;NO;NO;32;YES;FIBER OPTIC;YES;YES;YES;ONE YEAR;BANK TRANSFER (AUTOMATIC);109.55;3608.0;NO
MALE;0;YES;NO;72;YES;DSL;YES;YES;YES;TWO YEAR;CREDIT CARD (AUTOMATIC);86.65;6094.25;NO
MALE;0;YES;YES;38;YES;DSL;YES;YES;YES;TWO YEAR;CREDIT CARD (AUTOMATIC);81.0;3084.9;NO
MALE;0;NO;YES;51;YES;DSL;NO;YES;NO;ONE YEAR;CREDIT CARD (AUTOMATIC);47.85;2356.75;NO
MALE;0;YES;YES;72;YES;FIBER OPTIC;YES;YES;YES;TWO YEAR;BANK TRANSFER (AUTOMATIC);114.55;8306.05;NO
FEMALE;1;YES;NO;65;YES;FIBER OPTIC;YES;NO;YES;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);105.25;6786.4;YES
MALE;0;YES;YES;9;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;29.95;248.95;YES
FEMALE;0;YES;YES;9;YES;DSL;YES;YES;NO;MONTH-TO-MONTH;MAILED CHECK;65.0;663.05;YES
MALE;0;NO;YES;66;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;MAILED CHECK;20.55;1357.1;NO
FEMALE;1;NO;NO;44;YES;FIBER OPTIC;YES;NO;YES;ONE YEAR;CREDIT CARD (AUTOMATIC);109.8;4860.35;NO
MALE;0;NO;NO;50;YES;DSL;NO;YES;NO;TWO YEAR;BANK TRANSFER (AUTOMATIC);69.5;3418.2;NO
FEMALE;0;NO;NO;15;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;MAILED CHECK;48.85;631.4;NO
MALE;0;NO;NO;8;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);71.45;186.3;NO
FEMALE;1;NO;NO;66;YES;FIBER OPTIC;NO;YES;YES;ONE YEAR;CREDIT CARD (AUTOMATIC);71.45;6976.75;NO
FEMALE;0;NO;NO;57;YES;FIBER OPTIC;YES;YES;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;4884.85;NO
FEMALE;0;NO;NO;7;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;522.95;NO
MALE;1;YES;YES;10;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;362.6;NO
FEMALE;0;NO;NO;62;YES;FIBER OPTIC;YES;NO;NO;ONE YEAR;ELECTRONIC CHECK;71.45;5755.8;NO
MALE;0;YES;YES;40;YES;FIBER OPTIC;NO;NO;YES;ONE YEAR;ELECTRONIC CHECK;71.45;3355.65;NO
FEMALE;0;NO;NO;20;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;MAILED CHECK;71.45;406.95;NO
FEMALE;0;NO;NO;7;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;137.6;YES
FEMALE;0;YES;NO;25;YES;FIBER OPTIC;NO;YES;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;2395.7;NO
MALE;0;YES;NO;23;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;1968.1;NO
FEMALE;1;YES;NO;66;YES;FIBER OPTIC;NO;NO;YES;ONE YEAR;CREDIT CARD (AUTOMATIC);71.45;6819.45;NO
FEMALE;1;NO;NO;72;YES;FIBER OPTIC;NO;YES;YES;TWO YEAR;ELECTRONIC CHECK;71.45;7943.45;NO
MALE;1;YES;NO;49;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);71.45;4547.25;YES
MALE;1;YES;YES;43;YES;FIBER OPTIC;NO;YES;YES;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;4687.9;YES
FEMALE;0;YES;NO;46;YES;DSL;YES;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;2473.95;NO
MALE;0;YES;YES;72;YES;DSL;YES;YES;YES;TWO YEAR;CREDIT CARD (AUTOMATIC);71.45;6562.9;NO
MALE;0;NO;NO;10;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;MAILED CHECK;71.45;176.3;NO
FEMALE;0;NO;NO;40;YES;DSL;YES;YES;YES;ONE YEAR;BANK TRANSFER (AUTOMATIC);71.45;2236.2;NO
FEMALE;0;YES;YES;65;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;6985.65;YES
MALE;0;NO;NO;31;YES;FIBER OPTIC;NO;YES;YES;TWO YEAR;BANK TRANSFER (AUTOMATIC);99.45;3109.9;NO
FEMALE;0;YES;NO;68;YES;DSL;YES;YES;NO;TWO YEAR;CREDIT CARD (AUTOMATIC);70.9;4911.35;NO
MALE;1;YES;YES;56;YES;FIBER OPTIC;YES;NO;YES;ONE YEAR;BANK TRANSFER (AUTOMATIC);104.55;5794.65;YES
MALE;0;YES;NO;10;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;85.25;855.3;YES
MALE;0;YES;YES;68;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;BANK TRANSFER (AUTOMATIC);25.4;1620.2;NO
FEMALE;0;YES;YES;43;YES;DSL;NO;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;56.15;2499.3;YES
MALE;0;NO;NO;1;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;89.55;89.55;YES
FEMALE;1;NO;NO;49;YES;FIBER OPTIC;NO;NO;NO;ONE YEAR;BANK TRANSFER (AUTOMATIC);89.85;4287.2;NO
FEMALE;0;YES;YES;15;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;ELECTRONIC CHECK;25.25;394.85;NO
MALE;1;YES;NO;20;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;94.55;1899.65;YES
MALE;0;NO;NO;1;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;MAILED CHECK;45.7;45.7;YES
MALE;0;YES;YES;50;YES;DSL;NO;YES;YES;ONE YEAR;ELECTRONIC CHECK;69.65;3442.15;NO
FEMALE;1;NO;NO;2;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;89.5;161.5;YES
MALE;1;NO;NO;24;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);70.0;1732.6;NO
FEMALE;0;NO;NO;3;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);69.55;222.3;YES
FEMALE;0;NO;NO;1;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;MAILED CHECK;74.6;74.6;YES
MALE;0;YES;YES;35;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;MAILED CHECK;20.1;655.3;NO
FEMALE;0;NO;NO;17;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;MAILED CHECK;24.8;475.25;NO
FEMALE;1;NO;NO;8;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;ELECTRONIC CHECK;19.65;164.3;YES
MALE;0;NO;NO;10;YES;FIBER OPTIC;NO;YES;YES;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);95.1;865.1;NO
MALE;0;YES;YES;68;YES;DSL;YES;YES;YES;TWO YEAR;CREDIT CARD (AUTOMATIC);88.85;6132.7;NO
MALE;0;YES;NO;45;YES;DSL;YES;NO;YES;ONE YEAR;BANK TRANSFER (AUTOMATIC);78.8;3597.5;NO
MALE;0;YES;YES;2;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;MAILED CHECK;19.85;35.9;YES
MALE;0;YES;NO;37;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);20.35;697.65;NO
FEMALE;0;NO;NO;4;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;MAILED CHECK;24.25;96.05;YES
FEMALE;0;NO;NO;10;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;MAILED CHECK;45.25;428.7;NO
MALE;0;NO;NO;1;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;MAILED CHECK;20.05;20.05;NO
MALE;0;YES;YES;65;YES;DSL;YES;NO;NO;TWO YEAR;MAILED CHECK;69.55;4459.15;NO
FEMALE;0;YES;YES;57;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;BANK TRANSFER (AUTOMATIC);19.5;1167.6;NO
FEMALE;0;NO;NO;3;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;MAILED CHECK;74.75;238.1;NO
FEMALE;0;NO;NO;2;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;69.65;145.15;YES
MALE;0;NO;NO;49;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);30.2;1453.1;NO
FEMALE;0;NO;NO;4;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;MAILED CHECK;45.65;191.05;YES
FEMALE;0;YES;NO;70;YES;DSL;NO;YES;YES;TWO YEAR;BANK TRANSFER (AUTOMATIC);57.8;4039.3;NO
FEMALE;0;YES;YES;53;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;BANK TRANSFER (AUTOMATIC);19.85;1039.45;NO
MALE;0;YES;YES;53;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;CREDIT CARD (AUTOMATIC);25.55;1336.1;NO
FEMALE;0;NO;NO;1;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;MAILED CHECK;75.05;75.05;YES
MALE;0;NO;NO;22;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);24.85;493.4;NO
MALE;1;NO;NO;52;YES;DSL;NO;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;49.15;2550.9;YES
MALE;1;NO;NO;65;YES;FIBER OPTIC;YES;YES;YES;TWO YEAR;ELECTRONIC CHECK;110.35;7246.15;NO
FEMALE;0;NO;NO;48;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;BANK TRANSFER (AUTOMATIC);24.55;1203.95;NO
FEMALE;0;NO;NO;2;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;34.7;62.25;YES
MALE;0;NO;NO;3;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;MAILED CHECK;107.95;313.6;NO
MALE;0;YES;NO;45;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);81.4;3775.85;NO
MALE;0;YES;YES;1;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;80.0;80.0;YES
FEMALE;0;YES;YES;61;YES;DSL;NO;YES;YES;TWO YEAR;BANK TRANSFER (AUTOMATIC);71.45;4616.05;NO
MALE;0;NO;NO;3;YES;DSL;YES;YES;YES;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);71.45;195.65;NO
FEMALE;1;NO;NO;40;YES;FIBER OPTIC;NO;YES;YES;ONE YEAR;CREDIT CARD (AUTOMATIC);71.45;4188.4;NO
FEMALE;0;NO;NO;1;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;MAILED CHECK;71.45;71.1;NO
FEMALE;0;NO;NO;1;YES;DSL;NO;YES;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;49.9;NO
MALE;0;NO;NO;51;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;BANK TRANSFER (AUTOMATIC);71.45;1266.4;NO
MALE;1;NO;NO;2;YES;DSL;YES;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;91.1;YES
MALE;0;NO;NO;52;YES;DSL;NO;NO;NO;ONE YEAR;MAILED CHECK;71.45;1623.4;NO
MALE;0;NO;NO;51;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);83.4;4149.45;NO
MALE;0;NO;NO;1;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;MAILED CHECK;20.45;20.45;NO
MALE;0;YES;YES;31;YES;DSL;YES;YES;NO;ONE YEAR;BANK TRANSFER (AUTOMATIC);75.25;2344.5;NO
MALE;0;NO;YES;47;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;CREDIT CARD (AUTOMATIC);20.55;1013.05;NO
FEMALE;0;NO;NO;3;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);75.1;270.7;YES
FEMALE;1;NO;NO;22;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;MAILED CHECK;20.05;417.0;NO
FEMALE;0;YES;NO;1;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;MAILED CHECK;20.65;20.65;NO
MALE;0;YES;NO;72;YES;DSL;NO;YES;YES;TWO YEAR;BANK TRANSFER (AUTOMATIC);85.15;6316.2;NO
MALE;0;YES;YES;3;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;50.15;168.15;YES
MALE;1;YES;YES;47;YES;FIBER OPTIC;NO;NO;YES;ONE YEAR;BANK TRANSFER (AUTOMATIC);84.95;4018.05;NO
MALE;0;YES;YES;72;YES;DSL;YES;YES;NO;TWO YEAR;CREDIT CARD (AUTOMATIC);66.5;4811.6;NO
MALE;0;YES;YES;66;YES;DSL;NO;NO;YES;TWO YEAR;BANK TRANSFER (AUTOMATIC);63.3;4189.7;NO
MALE;0;NO;NO;35;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;83.15;2848.45;NO
MALE;0;NO;NO;29;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;84.9;2516.2;NO
FEMALE;0;NO;NO;2;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;MAILED CHECK;20.55;33.6;NO
MALE;0;NO;NO;4;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;MAILED CHECK;49.25;208.45;NO
FEMALE;0;NO;NO;25;YES;FIBER OPTIC;YES;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);79.85;2015.35;YES
FEMALE;0;NO;NO;65;YES;DSL;YES;YES;NO;TWO YEAR;MAILED CHECK;59.6;3739.8;NO
MALE;1;NO;NO;27;YES;FIBER OPTIC;NO;YES;YES;ONE YEAR;BANK TRANSFER (AUTOMATIC);104.65;2964.0;NO
MALE;0;YES;NO;29;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);75.3;2263.4;NO
MALE;0;YES;YES;29;YES;DSL;NO;NO;YES;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);80.1;2211.8;NO
MALE;0;NO;NO;1;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;MAILED CHECK;19.55;19.55;YES
FEMALE;0;YES;NO;20;YES;FIBER OPTIC;NO;YES;NO;MONTH-TO-MONTH;MAILED CHECK;81.0;1683.7;NO
FEMALE;0;NO;NO;58;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;CREDIT CARD (AUTOMATIC);24.7;1519.0;NO
FEMALE;0;NO;YES;14;YES;FIBER OPTIC;YES;YES;NO;MONTH-TO-MONTH;MAILED CHECK;86.0;1164.05;NO
MALE;0;YES;NO;72;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;MAILED CHECK;25.4;1710.9;NO
MALE;0;NO;NO;46;YES;FIBER OPTIC;YES;NO;YES;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);89.15;4245.55;NO
FEMALE;0;YES;NO;71;YES;DSL;NO;YES;YES;TWO YEAR;BANK TRANSFER (AUTOMATIC);58.25;4145.9;NO
MALE;0;NO;NO;32;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);85.65;2664.3;NO
FEMALE;0;NO;NO;26;YES;DSL;NO;NO;YES;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);50.35;1277.5;NO
MALE;1;YES;NO;68;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);80.35;5589.3;NO
MALE;0;YES;YES;2;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;MAILED CHECK;20.2;34.75;NO
MALE;0;YES;YES;61;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;CREDIT CARD (AUTOMATIC);20.55;1305.95;NO
FEMALE;0;YES;YES;4;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;85.95;381.3;YES
MALE;0;NO;NO;3;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;45.35;141.5;YES
MALE;1;YES;NO;33;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;94.5;3105.55;YES
MALE;1;YES;NO;9;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;MAILED CHECK;21.25;204.55;NO
FEMALE;0;NO;NO;22;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;MAILED CHECK;26.25;605.9;NO
FEMALE;0;YES;YES;5;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;80.85;356.1;NO
FEMALE;1;NO;NO;30;YES;FIBER OPTIC;YES;NO;NO;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);91.7;2758.15;YES
MALE;0;NO;NO;65;YES;DSL;NO;YES;NO;TWO YEAR;CREDIT CARD (AUTOMATIC);74.2;4805.65;NO
FEMALE;0;NO;NO;45;YES;FIBER OPTIC;NO;YES;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;87.25;3941.7;YES
MALE;0;NO;NO;5;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;MAILED CHECK;20.35;92.75;NO
MALE;0;YES;YES;25;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;75.5;1901.05;NO
FEMALE;0;YES;YES;72;YES;FIBER OPTIC;YES;NO;NO;TWO YEAR;BANK TRANSFER (AUTOMATIC);79.05;5730.7;NO
FEMALE;0;YES;NO;27;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);90.15;2423.4;NO
MALE;0;YES;YES;32;YES;DSL;NO;NO;YES;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);50.6;1653.45;NO
FEMALE;0;NO;NO;30;YES;FIBER OPTIC;NO;YES;YES;ONE YEAR;CREDIT CARD (AUTOMATIC);110.45;3327.05;NO
MALE;0;YES;NO;70;YES;FIBER OPTIC;YES;YES;NO;TWO YEAR;CREDIT CARD (AUTOMATIC);101.0;7085.5;NO
MALE;1;NO;NO;42;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);79.35;3344.1;NO
FEMALE;1;YES;NO;72;YES;DSL;YES;YES;YES;TWO YEAR;BANK TRANSFER (AUTOMATIC);89.85;6697.35;NO
FEMALE;0;NO;NO;47;YES;DSL;YES;YES;NO;TWO YEAR;MAILED CHECK;65.0;2879.9;NO
FEMALE;0;NO;NO;2;YES;FIBER OPTIC;YES;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;80.45;137.1;NO
MALE;0;NO;NO;10;YES;FIBER OPTIC;YES;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;98.55;1008.55;YES
FEMALE;0;YES;YES;61;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;MAILED CHECK;24.1;1551.6;NO
FEMALE;0;NO;NO;5;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);44.05;202.15;NO
FEMALE;1;YES;NO;72;YES;FIBER OPTIC;NO;YES;YES;TWO YEAR;CREDIT CARD (AUTOMATIC);110.8;7882.25;NO
MALE;1;YES;YES;72;YES;FIBER OPTIC;YES;YES;YES;TWO YEAR;BANK TRANSFER (AUTOMATIC);114.95;8196.4;NO
FEMALE;1;NO;NO;3;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;MAILED CHECK;75.05;202.9;NO
MALE;0;YES;NO;48;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;MAILED CHECK;19.25;855.1;NO
FEMALE;0;NO;NO;63;YES;FIBER OPTIC;NO;YES;YES;ONE YEAR;CREDIT CARD (AUTOMATIC);90.05;5817.0;NO
FEMALE;0;NO;NO;27;YES;DSL;YES;NO;NO;MONTH-TO-MONTH;MAILED CHECK;56.7;1652.95;NO
MALE;0;YES;YES;70;YES;DSL;YES;NO;YES;TWO YEAR;CREDIT CARD (AUTOMATIC);80.15;5600.15;NO
MALE;0;YES;YES;7;YES;DSL;YES;YES;NO;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);71.35;515.75;NO
MALE;0;NO;YES;0;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;MAILED CHECK;20.25;40.5;NO
FEMALE;0;YES;NO;2;YES;FIBER OPTIC;YES;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;90.35;190.5;NO
MALE;1;NO;NO;20;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;98.55;1842.8;YES
MALE;0;NO;NO;66;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;BANK TRANSFER (AUTOMATIC);19.7;1253.8;NO
FEMALE;0;NO;NO;3;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;MAILED CHECK;19.85;57.2;NO
FEMALE;0;NO;YES;15;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);85.9;1269.55;YES
FEMALE;0;YES;YES;72;YES;FIBER OPTIC;YES;YES;NO;TWO YEAR;BANK TRANSFER (AUTOMATIC);90.35;6563.4;NO
MALE;0;NO;NO;1;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;MAILED CHECK;20.8;20.8;NO
FEMALE;0;NO;NO;22;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;89.25;1907.85;YES
MALE;0;YES;NO;3;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;70.3;208.85;YES
FEMALE;0;YES;YES;72;YES;DSL;YES;YES;NO;TWO YEAR;BANK TRANSFER (AUTOMATIC);66.85;4758.8;NO
MALE;0;YES;YES;65;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;MAILED CHECK;19.9;1292.6;NO
